date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-07-20 00:00:00,31.1,24.1,39,0,,,11.9,,1012.3,
2022-07-21 00:00:00,30.4,24.5,38,0,,,12.6,,1012.4,
2022-07-22 00:00:00,29.6,23.8,37,0,,,14.5,,1014.3,
2022-07-23 00:00:00,29.6,23.5,38,0,,,13.4,,1015,
2022-07-24 00:00:00,29.9,23.8,38,0,,,14.5,,1015.2,
2022-07-25 00:00:00,28.4,23,34.8,0.2,,,13.4,,1015.2,
2022-07-26 00:00:00,29.7,23.6,37,0,,,12.9,,1015.3,
2022-07-27 00:00:00,28.8,23.6,36,0,,,13,,1014.8,
2022-07-28 00:00:00,28.9,23.5,36,0,,,10.2,,1014.6,
2022-07-29 00:00:00,29.2,23.3,37,0,,,14.3,,1015.4,
2022-07-30 00:00:00,29,23,36,0,,,14.5,,1017.8,
2022-07-31 00:00:00,28.2,22.8,36,0,,,12,,1018.5,
2022-08-01 00:00:00,28.8,22.5,36,0,,,10.2,,1017.3,
2022-08-02 00:00:00,29.8,23.5,37,0,,,12.3,,1015.5,
2022-08-03 00:00:00,30.8,23.5,39,0,,,13,,1012.3,
2022-08-04 00:00:00,30,23.7,38,0,,,13.1,,1012.5,
2022-08-05 00:00:00,29.5,23.5,37,0,,,13.1,,1014.3,
2022-08-06 00:00:00,29.1,22.9,37,0,,,13.7,,1015.6,
2022-08-07 00:00:00,28.9,23,36,0.3,,,15.1,,1016.9,
2022-08-08 00:00:00,28.4,23,35,0.2,,,11.8,,1017,
2022-08-09 00:00:00,29,22.6,36,0.1,,,11.8,,1016.4,
2022-08-10 00:00:00,29.8,23.2,37,0,,,10,,1017.4,
2022-08-11 00:00:00,30.2,22,37,0,,,9.9,,1016.4,
2022-08-12 00:00:00,27.3,22,35,9.5,,,8,,1016.5,
2022-08-13 00:00:00,26.7,22,34,3.2,,,9,,1016,
2022-08-14 00:00:00,26.2,22.4,33,34,,,8.9,,1013.9,
2022-08-15 00:00:00,26.2,22.5,33,5.8,,,10.5,,1012.2,
2022-08-16 00:00:00,27.6,23.6,34,0.4,,,12.1,,1012.9,
2022-08-17 00:00:00,28.5,23.3,35,0.1,,,10.6,,1015,
2022-08-18 00:00:00,29.5,23.7,36,0,,,10.5,,1014,
2022-08-19 00:00:00,29.4,23.5,36,0,,,12.3,,1012.7,
2022-08-20 00:00:00,28.9,22.9,36,0,,,10,,1014.4,
2022-08-21 00:00:00,29.3,24,35,0.2,,,9.2,,1014.9,
2022-08-22 00:00:00,30,24.2,37,0,,,8.4,,1013,
2022-08-23 00:00:00,29,23.9,34,3.1,,,9.8,,1012.3,
2022-08-24 00:00:00,28.8,23.5,35,0.2,,,8.8,,1013.6,
2022-08-25 00:00:00,27.8,24,34,1.8,,,8.3,,1015.7,
2022-08-26 00:00:00,25.9,23.4,32,17.8,,,8.1,,1015.7,
2022-08-27 00:00:00,27.7,23,33,1.7,,,8.7,,1012.5,
2022-08-28 00:00:00,28.4,23,34.5,0.1,,,8.6,,1010.1,
2022-08-29 00:00:00,28.7,23.6,36,1.6,,,7.9,,1011.6,
2022-08-30 00:00:00,27.8,23.8,34,1.2,,,10.1,,1014.2,
2022-08-31 00:00:00,25.9,23,32,1.3,,,7.9,,1016,
2022-09-01 00:00:00,26.3,21,32.4,0.1,,,7.8,,1015.2,
2022-09-02 00:00:00,26.7,23.2,32,0,,,8.8,,1014.5,
2022-09-03 00:00:00,25.8,23,31,9.8,,,7.8,,1016.4,
2022-09-04 00:00:00,24.2,21,28,16.8,,,8.4,,1016,
2022-09-05 00:00:00,22.8,20,26.4,19.9,,,8.1,,1015.7,
2022-09-06 00:00:00,23.6,21,27,18.5,,,7,,1018.4,
2022-09-07 00:00:00,25.2,21,31,3.6,,,7.9,,1017.7,
2022-09-08 00:00:00,26.5,21,32.9,0,,,8,,1012.9,
2022-09-09 00:00:00,26.8,21.2,33.3,0.4,,,7.8,,1008.8,
2022-09-10 00:00:00,26.2,21.6,32,2.1,,,7.5,,1013.1,
2022-09-11 00:00:00,26.7,21.8,32,0,,,6.9,,1019.1,
2022-09-12 00:00:00,26.1,20.2,32.9,0.6,,,6.8,,1017.8,
2022-09-13 00:00:00,26,21.1,31,0,,,7.4,,1014.8,
2022-09-14 00:00:00,25.6,21.2,31,0.1,,,7.9,,1015.3,
2022-09-15 00:00:00,25,21.6,30,0.6,,,7.7,,1017,
2022-09-16 00:00:00,25.4,21,30,0.3,,,7,,1016.4,
2022-09-17 00:00:00,26.3,21,32,0.2,,,9.3,,1015.4,
2022-09-18 00:00:00,26.1,22,31,1.6,,,8.6,,1015,
2022-09-19 00:00:00,26.5,22.6,32,1.1,,,9.4,,1015.7,
2022-09-20 00:00:00,25.9,21.6,32,0.3,,,7.9,,1016.9,
2022-09-21 00:00:00,25.8,21.6,31,0,,,7.3,,1016.7,
2022-09-22 00:00:00,26,21,32,0,,,7.1,,1016.8,
2022-09-23 00:00:00,25.8,19.9,32,0,,,7.2,,1016.9,
2022-09-24 00:00:00,26.2,20.9,32,0,,,7.1,,1016.4,
2022-09-25 00:00:00,25.1,21,31,14.5,,,7.8,,1015.3,
2022-09-26 00:00:00,22.1,20,29,11.8,,,9,,1018.2,
2022-09-27 00:00:00,23.6,19,28,0.2,,,8.3,,1020.2,
2022-09-28 00:00:00,22.9,19,28,0,,,6.6,,1023.2,
2022-09-29 00:00:00,21.9,16,29.4,0,,,6.3,,1022.9,
2022-09-30 00:00:00,22.5,14.4,29,0,,,7.2,,1017.6,
2022-10-01 00:00:00,22.1,15.4,29,0,,,7.5,,1016.1,
2022-10-02 00:00:00,22.3,17.2,28,0,,,5.4,,1019.6,
2022-10-03 00:00:00,22.1,18,27.2,0.1,,,6,,1020.5,
2022-10-04 00:00:00,21.8,18.1,25,3.2,,,6.4,,1018.7,
2022-10-05 00:00:00,22.8,18.4,28,0,,,6.3,,1018.5,
2022-10-06 00:00:00,21.3,18,25,6,,,6.9,,1020.7,
2022-10-07 00:00:00,20.5,17,25,14.2,,,7.5,,1022.6,
2022-10-08 00:00:00,20.4,17.9,23,0.7,,,6.5,,1024.3,
2022-10-09 00:00:00,21.8,16.9,28,0.1,,,7.4,,1022.8,
